id,status_group
6877,functional
47323,functional
48624,functional
6148,functional
59698,functional
67268,functional
59174,functional
68916,functional
28358,non functional
57453,non functional
71952,functional needs repair
1761,non functional
15234,non functional
60021,non functional
22567,functional needs repair
17695,non functional
19872,functional
22828,functional
34896,functional
35570,non functional
41325,non functional
8831,functional
5345,functional
19379,non functional
5514,functional
61654,functional
40482,functional
43123,functional
40492,functional
68733,non functional
3952,functional
70288,functional
30085,functional
65837,functional
34752,functional
2465,functional
11466,functional
22313,functional
30179,functional
23505,non functional
48424,functional
11150,non functional
70368,non functional
26935,non functional
5919,functional
2134,functional
16652,non functional
59302,non functional
24210,functional
6211,functional
19743,non functional
10760,non functional
48104,non functional
50171,functional
63137,non functional
38301,non functional
10948,functional
33232,functional
61415,non functional
69131,non functional
73555,functional
46610,functional
20922,functional
55743,non functional
19341,non functional
9588,non functional
3293,functional
55490,non functional
67678,functional
36119,functional
62775,functional
68162,non functional
66128,non functional
12036,non functional
15739,functional
57048,non functional
15825,functional
45590,non functional
18055,functional
34073,functional
14860,non functional
53713,non functional
69327,functional
60169,non functional
26798,functional
37122,functional
45156,non functional
22874,functional needs repair
58774,functional
40092,non functional
17487,functional
35886,functional needs repair
49892,functional
66338,functional
35481,non functional
4135,non functional
54191,functional
31349,non functional
72271,functional
48863,functional
13758,non functional
33443,non functional
12003,non functional
10845,non functional
47,non functional
70492,non functional
11346,functional
20126,non functional
51000,non functional
64505,functional
58329,non functional
6311,functional
22286,functional
35013,functional
6274,functional
30904,functional
46606,non functional
18461,functional
15256,non functional
625,functional
42122,functional
18277,functional
68501,functional
8816,non functional
62879,functional
18554,non functional
27712,functional
46935,functional
57804,functional
57711,non functional
5516,non functional
8305,functional
57410,non functional
51412,functional
25863,functional
35994,non functional
55279,functional needs repair
74102,functional
38277,functional
1998,functional
52056,functional
63679,functional
71762,non functional
71432,non functional
45592,functional
13663,functional
62227,non functional
3730,non functional
2451,functional
46418,functional
45996,functional
60911,functional
46089,functional
65579,functional
40407,non functional
66663,non functional
26597,functional
50540,functional
58133,functional
1493,functional
31503,functional
17910,functional
19466,non functional
38120,functional
66553,non functional
31696,functional
51318,functional
33584,functional
48678,non functional
36112,functional
6294,functional
40612,functional
62793,functional
58090,non functional
2532,functional
38865,functional
35462,functional
51709,functional
40624,functional
41745,non functional
42315,functional
38952,non functional
45540,functional
73833,functional
27771,functional
9336,non functional
12545,functional
54811,functional
48326,functional
31787,functional
61745,functional
42091,functional
43727,non functional
46917,functional
26718,non functional
3138,non functional
72932,functional
25707,functional
68580,functional
25064,functional
7624,non functional
3830,functional
13458,functional
57377,non functional
37294,non functional
39561,functional
23237,functional needs repair
72484,functional
56490,non functional
13706,functional
43035,non functional
14084,functional
55875,non functional
17299,non functional
1793,functional
70943,non functional
65720,functional
49165,functional
18879,non functional
3574,functional
56735,functional
45481,non functional
51772,functional
74095,functional
54000,non functional
34834,functional
50175,functional
35733,non functional
6808,non functional
27311,non functional
73303,functional
70335,non functional
2691,non functional
12582,functional
49536,functional
23715,functional
45445,functional needs repair
52609,non functional
35087,non functional
42767,functional
24373,functional
32895,non functional
9328,non functional
23275,functional
20054,functional
8378,functional
47432,functional
49863,functional
57828,functional
31169,functional
38382,functional
31205,functional
23528,non functional
26507,functional
67091,non functional
47734,functional
927,functional
48521,functional
16963,functional
48233,functional needs repair
58989,non functional
2399,functional
23530,functional
46271,functional
71726,functional
23526,functional
49861,functional
22619,functional
41264,non functional
20623,functional
35694,non functional
68210,functional
13446,functional
11321,functional
56312,functional
19533,functional needs repair
7275,functional
48614,functional
65873,functional
9008,non functional
36817,functional
25767,functional
38460,functional
16756,non functional
13310,functional
36514,functional
57548,functional
2809,non functional
70632,non functional
17260,functional
27950,non functional
40629,functional
64155,functional
50640,functional
67355,non functional
32132,non functional
70868,non functional
45823,non functional
19985,functional
61834,non functional
54171,functional
62763,non functional
42408,functional
13151,non functional
28311,non functional
57775,functional
37603,functional
56357,non functional
37845,functional
57177,functional
12821,functional
8193,non functional
49031,non functional
14011,functional
33708,non functional
68898,functional
37198,functional
11151,functional
22264,functional
49694,functional
47318,non functional
46108,functional
28297,non functional
36340,non functional
26987,non functional
5766,functional
25979,functional
73021,non functional
11908,functional
47496,non functional
61777,non functional
47591,functional
8968,functional
45656,non functional
39630,non functional
2786,functional
958,functional
55843,functional
52074,functional
23422,non functional
55802,functional
61634,functional
1625,functional
37398,non functional
51011,non functional
49595,functional
22486,functional
22916,non functional
45204,non functional
74223,functional
35533,functional
30595,functional
47319,functional
32555,functional
9520,functional
53253,functional
36436,non functional
15036,non functional
23175,functional
41998,functional
19345,functional
1198,functional
39848,non functional
39278,functional
39844,non functional
17332,functional
51287,functional
49514,non functional
64288,functional
41782,functional needs repair
54572,functional
68079,functional
68017,functional
66705,functional
5274,non functional
58230,functional
51010,non functional
46242,non functional
1917,functional
9361,functional needs repair
33043,functional
56633,functional
57518,functional
51128,functional
4388,functional
62267,functional
72473,functional
70957,functional
35399,functional
33236,functional
73183,non functional
52939,non functional
66929,non functional
54326,non functional
16343,functional
33013,functional
60384,functional
41074,non functional
71997,functional
35190,functional
3425,functional needs repair
4335,non functional
7399,non functional
46431,non functional
40845,non functional
27347,non functional
10981,non functional
36447,non functional
67485,non functional
11220,functional
45857,functional
21806,functional
8771,functional
45535,non functional
8671,functional
2252,functional
58078,functional
61068,non functional
69204,functional needs repair
28326,functional
46930,functional
52104,non functional
31732,functional
21584,non functional
17045,functional
14404,functional
34699,functional
39930,functional
38744,non functional
4339,non functional
54735,non functional
51916,functional
58114,non functional
28339,non functional
52048,non functional
66497,functional
18353,non functional
16701,functional
59499,functional
66042,non functional
43965,functional
48361,functional
70766,functional
9510,non functional
28586,functional
28521,functional
18050,functional
73151,functional needs repair
45011,non functional
64380,non functional
66896,non functional
40184,non functional
67207,functional
70178,functional
54063,functional
39252,functional
53773,functional
47931,non functional
44168,functional
66540,non functional
54089,functional
29244,functional
27525,functional
58991,functional
18087,functional needs repair
67803,functional
48006,non functional
11788,functional
16100,functional
16382,functional
21208,functional
8637,functional
67008,functional
67914,functional
7041,functional
43181,functional
26191,functional
14766,non functional
49812,non functional
12705,functional
25422,non functional
9399,functional
4239,functional
49442,non functional
32,functional
11443,functional
15492,functional
63498,non functional
12708,non functional
19483,functional
31204,non functional
33445,functional needs repair
40820,non functional
10279,functional
46718,functional
39000,non functional
45897,non functional
62154,non functional
50034,non functional
11853,non functional
40426,functional
41168,non functional
58978,non functional
31363,functional
32736,non functional
29058,functional
23824,non functional
61885,functional
59187,functional
73243,functional
62915,functional
1784,functional
65951,non functional
20661,functional
55504,non functional
66975,functional
72057,functional
49331,non functional
52682,non functional
37859,functional
10460,non functional
12407,functional
69993,non functional
13012,non functional
70896,non functional
13264,functional
51824,functional
60216,non functional
57481,functional
3996,functional
24854,functional
43420,functional
70468,functional
38305,functional
57179,functional needs repair
70388,functional
67589,non functional
69974,non functional
8854,functional
71663,functional
69272,non functional
49119,functional
15638,functional
9086,non functional
56422,functional
39106,functional
4515,non functional
48594,functional
63779,functional
60740,functional
61242,non functional
65001,functional
2601,functional
52456,functional
21873,non functional
25505,non functional
21890,functional
52336,functional
57756,functional
45465,non functional
4989,functional
51585,functional needs repair
50533,functional
54866,functional
23793,functional
50135,functional
26549,non functional
66920,non functional
35517,non functional
390,functional
13645,non functional
39327,functional
58900,non functional
2100,functional
31521,non functional
277,functional
33937,non functional
42545,functional
7614,functional
46861,functional
35278,functional
71773,non functional
52392,functional
47229,non functional
10716,non functional
13923,functional
42206,functional
965,non functional
66646,functional
17301,functional
21533,functional
37797,functional needs repair
19241,functional needs repair
15296,functional
41472,functional
73859,non functional
20153,functional
71684,functional
8321,functional
68979,non functional
48850,functional
64251,non functional
3583,functional
33326,non functional
8500,functional
67047,functional
24896,functional
39527,functional
3089,functional
66477,non functional
24107,non functional
7823,non functional
32016,non functional
35048,functional
70580,non functional
47503,non functional
37357,functional needs repair
1195,functional
52309,functional
19655,non functional
39455,functional
52757,functional
62729,functional
24324,functional
51298,non functional
17127,functional
28152,functional
14259,non functional
47461,functional
65878,functional
58913,non functional
70035,non functional
37446,non functional
30337,non functional
57584,functional
67193,functional
62103,functional
22896,non functional
5934,non functional
61722,functional
9299,non functional
68558,non functional
51165,non functional
8657,functional
54952,non functional
53160,functional
17393,functional
33016,functional
25929,functional
41102,functional
11093,functional
52744,functional
23484,non functional
13139,functional
55439,functional needs repair
41539,functional
47692,non functional
60165,functional
64683,non functional
7089,non functional
13516,functional
47720,functional
22588,functional
28580,functional
9075,functional
25066,non functional
28284,non functional
67568,functional
64823,functional
8243,non functional
2556,functional
58746,functional
18288,non functional
72822,functional
5178,functional
66294,functional
14451,functional
48600,functional
27513,functional
36889,functional needs repair
663,non functional
10646,non functional
35103,functional needs repair
50804,non functional
29635,functional
47604,functional
49844,functional
69068,non functional
43074,functional
71088,functional
40470,non functional
21920,functional
51415,functional
15480,functional
21881,functional
7780,functional
24908,functional
53915,functional
54560,non functional
15498,non functional
20446,functional
5886,functional
52883,functional
30892,functional
37432,functional needs repair
42574,functional needs repair
61505,functional
44827,functional
5951,functional
48991,non functional
22821,non functional
46478,functional
19831,functional
49317,functional needs repair
18472,functional
58686,non functional
47419,functional
44921,functional
55024,functional
28971,non functional
8108,non functional
32182,functional
40513,functional
372,non functional
49297,functional
24407,functional
44874,functional
25119,functional
3882,non functional
73443,non functional
56056,functional
22035,functional
46318,functional
20802,functional
41941,functional
12044,non functional
47262,functional
19337,non functional
38688,functional
45341,functional
55661,functional
32322,functional
41912,functional
26136,non functional
13480,functional
62035,non functional
50343,functional
68537,functional
52293,non functional
17764,functional
67862,functional
38933,non functional
68514,functional
65335,functional
27469,functional
31290,functional
72594,non functional
2854,functional
19679,functional
46470,functional
9931,non functional
39214,functional
3982,non functional
29633,functional
50872,non functional
31969,non functional
51280,functional
63438,non functional
52302,functional
44486,functional
4641,non functional
47724,non functional
4393,non functional
54938,non functional
66983,non functional
55870,functional
62561,functional
7975,functional
9418,functional
4929,functional
68311,functional
15225,non functional
51854,functional
40247,functional
37958,non functional
19319,non functional
27495,functional
20111,functional
33231,non functional
44772,functional
53237,non functional
23279,functional
66738,functional
73053,functional
31190,non functional
54820,functional
54173,functional
40904,functional
43729,functional
63132,functional
65274,non functional
2012,functional
70647,functional
6067,functional
47835,non functional
14510,functional
34536,functional
50168,functional
65018,non functional
4960,functional
19291,functional
11480,functional
74179,functional
46276,functional
69469,functional
51844,functional
13340,non functional
34046,functional
72429,functional
60034,functional
36173,functional
66575,functional
33778,non functional
52807,functional
37283,non functional
53688,non functional
54777,functional
10363,non functional
42685,functional
29334,functional
17320,functional
7060,functional
3905,functional
14607,functional
59091,functional
44927,functional
59415,non functional
59722,non functional
49411,functional needs repair
40903,functional
64786,non functional
36207,functional
61178,functional
55377,functional needs repair
34300,functional
29483,functional
58576,functional
37659,non functional
63873,functional
55723,non functional
9950,functional needs repair
49680,functional
30329,non functional
64912,functional
21165,functional
42112,functional
25108,functional
55021,functional needs repair
14319,functional
23587,functional
27217,non functional
62333,functional needs repair
3284,functional
38299,non functional
35668,functional
10228,non functional
67801,functional
63324,non functional
33451,functional
46306,functional
37149,functional
29770,functional
14731,functional
7963,functional
55945,functional
7645,functional
7244,functional
40114,functional
37615,non functional
54151,functional
64712,functional
40499,non functional
71171,functional
20712,functional
20187,functional
12383,non functional
33364,functional
9646,functional
12201,functional
1782,non functional
42747,functional
12125,functional
53260,functional
55023,functional
7865,functional
66269,non functional
45049,functional
4988,non functional
17387,functional
41771,functional
44806,functional
9157,functional
70881,non functional
59951,non functional
47581,non functional
14986,functional
71499,non functional
32928,functional
11934,non functional
54065,functional
25479,functional
38302,functional
32973,functional
52140,functional
51060,non functional
33106,functional
55127,non functional
8640,functional needs repair
43117,functional needs repair
9966,functional
11183,functional
72250,functional
50586,functional
48093,non functional
37435,functional
9379,functional
65657,functional
34535,functional
26262,non functional
14458,functional
33972,non functional
40238,functional
70610,functional
47960,functional
71481,non functional
10946,functional
68239,non functional
56314,functional
20772,functional
41027,non functional
57639,non functional
42841,functional
8016,non functional
38349,non functional
68114,non functional
53733,functional
53513,non functional
50420,functional
31043,non functional
11436,functional
66544,non functional
66297,functional
9975,functional
21663,non functional
66747,functional
8343,functional
43675,functional
12325,functional
27609,non functional
70092,non functional
4092,non functional
60469,non functional
15869,functional
31689,functional
40197,non functional
35039,functional
19866,functional
65864,functional
54111,functional
65616,functional
24954,functional
55924,non functional
48299,non functional
51679,functional
7861,functional
74037,functional
2367,functional
60329,functional
16467,functional
36876,functional
42906,functional
58855,functional needs repair
48072,functional
34861,non functional
38446,non functional
25076,functional needs repair
42010,functional
27880,non functional
49961,non functional
32989,functional
17483,non functional
54815,functional
16359,non functional
54840,functional
6252,functional
46589,functional
65044,functional
52749,functional
31792,functional needs repair
72814,non functional
19523,functional
32936,functional
28011,functional
49940,non functional
21296,functional
57692,non functional
60900,non functional
69726,functional
4707,non functional
5501,functional
37805,functional
20466,functional
915,non functional
15844,functional
60509,non functional
22552,functional
47386,functional
8521,non functional
54730,functional
58417,functional needs repair
11731,functional
40490,functional
17385,non functional
63184,functional
45621,non functional
42679,functional
64602,non functional
33317,functional
38658,functional
64299,functional
36030,functional
18940,functional
45669,functional
19668,functional
44209,functional
73269,non functional
72767,functional
68471,functional
907,non functional
57724,functional
19492,functional
18247,non functional
61793,functional
68182,functional needs repair
69769,functional
1580,functional
9327,non functional
18330,functional
9250,non functional
29932,functional
22830,functional
58200,functional
30920,functional
9138,functional
50234,non functional
54691,functional
16393,functional
56549,functional
9832,functional
31881,functional
12886,non functional
58897,non functional
830,non functional
15950,non functional
26265,non functional
46220,non functional
22347,functional
2860,functional
19021,functional
3484,functional needs repair
30298,functional
39782,functional
74005,functional
5674,functional
9381,functional
3895,non functional
1673,non functional
29551,functional
41475,functional
67870,functional
2791,non functional
42255,non functional
67164,non functional
12440,non functional
13193,non functional
60880,functional
71008,functional
67514,non functional
34910,non functional
383,functional needs repair
23977,functional
70543,functional
2906,functional
33810,non functional
10021,functional
46730,non functional
1663,functional
2408,non functional
72505,non functional
65019,functional needs repair
42313,functional
340,non functional
50285,functional
3409,non functional
26378,functional
47552,functional
32262,functional
58637,non functional
34827,functional
63294,functional
44867,functional
26751,functional
66574,functional
39354,functional
21479,functional
57899,functional
60079,functional
62070,functional
20628,non functional
11344,non functional
62122,non functional
51867,non functional
51667,non functional
16857,functional
27022,non functional
10438,non functional
57755,functional
22384,non functional
3380,non functional
41843,functional
35208,functional
37152,functional
47925,functional
43946,functional
2932,functional
11829,functional
59013,functional
48338,functional
71276,functional
62998,functional
6708,non functional
9969,functional
5567,functional
61598,functional
20745,functional
72485,non functional
53890,functional
62984,functional
56024,non functional
64958,non functional
36386,functional
12970,non functional
63672,non functional
1545,functional
68416,functional
53929,functional
59291,functional
20931,non functional
18781,non functional
15430,functional
54042,functional
56896,non functional
2579,non functional
65982,functional
8486,non functional
15871,non functional
36433,functional
65239,functional
42513,functional
63248,functional
2959,non functional
64833,functional
54346,functional
12284,functional
18056,non functional
9415,non functional
10574,functional
67761,functional
2413,functional
60358,non functional
72803,functional
71644,non functional
43929,functional
23370,functional
38121,functional
71352,functional
26630,non functional
72503,functional
36667,functional
13838,functional
73762,functional
56917,functional
64901,functional
11878,functional
11761,functional
22410,functional
29102,functional
36539,functional
9758,functional
28981,non functional
56273,functional
35854,functional
38840,functional
32235,functional
36097,non functional
54661,functional needs repair
61700,functional
71556,non functional
9296,non functional
26823,non functional
45401,functional
862,non functional
12857,non functional
60984,non functional
68476,functional
18299,functional
48846,functional
6446,functional
63522,non functional
66298,non functional
39348,functional
25325,functional
38166,functional
10753,functional
6496,functional needs repair
66416,functional needs repair
47968,non functional
30436,functional
53608,non functional
66036,non functional
46595,functional
18890,non functional
1978,non functional
10656,functional
69297,functional
43482,functional
43158,functional
18733,functional
27893,functional
72342,functional
37520,functional
11453,functional
39911,functional
51620,functional
18133,functional
4572,functional needs repair
55691,functional
42966,non functional
66569,functional
7200,non functional
53136,non functional
25723,functional
66123,non functional
7672,non functional
37943,functional
2142,non functional
66405,functional
13101,functional
73963,non functional
26444,functional
19007,non functional
71761,functional
1467,functional
35518,functional
32922,functional
43852,non functional
29438,functional
56706,functional
39407,functional
58835,functional
43397,functional
9994,functional
7622,functional
34194,functional
13045,non functional
32959,non functional
50876,functional
31094,non functional
37473,functional
61430,functional
47922,functional
52355,non functional
65517,non functional
42861,non functional
59615,non functional
28406,non functional
3716,functional
219,non functional
2079,functional
3612,functional
50670,functional
33118,non functional
25722,functional needs repair
56582,functional
7760,functional
39295,non functional
68787,functional
64264,functional
35160,functional
49452,functional
53668,functional
67380,functional
45974,functional
11062,non functional
27946,functional
50414,non functional
38773,non functional
39624,functional
72477,functional
61146,functional
22496,functional
39554,non functional
23463,functional needs repair
26384,functional
42071,functional
38972,non functional
44617,non functional
32282,functional
8586,non functional
36903,non functional
55556,functional
21436,non functional
17030,non functional
51806,functional
44903,non functional
1957,functional
20102,functional needs repair
39391,functional
10871,non functional
67815,functional
19183,functional
17711,functional
59743,functional needs repair
11844,functional
40062,functional
40682,functional
71690,non functional
22833,functional
16908,functional
43496,functional
62050,non functional
65634,functional
6309,non functional
38784,functional needs repair
38329,non functional
69029,functional
25515,non functional
30870,non functional
34228,functional
42698,functional
31674,functional
2848,functional
52616,functional
28760,functional
1188,non functional
13957,non functional
20847,non functional
39895,functional
44133,functional
47704,functional
68173,functional
40526,functional
26285,functional
67502,functional
57809,non functional
3915,functional
69110,non functional
21675,functional
16738,functional
13627,functional
13404,functional
16649,functional
8572,functional
71169,functional
71519,functional
72287,functional
19168,functional
25981,functional
33996,functional
69749,functional
53037,functional
49611,functional
52353,non functional
71599,non functional
29631,functional
54016,non functional
71623,functional
67739,non functional
30275,non functional
29073,functional
59974,non functional
47612,functional
15654,non functional
12002,functional
10489,functional
49293,non functional
23467,functional
6668,functional
6876,functional
11289,functional
30283,functional
55091,functional
26166,functional
3449,non functional
7498,functional
62730,functional
68654,non functional
5300,non functional
22742,non functional
2653,functional
71210,non functional
24301,functional
51174,non functional
57324,functional
47760,functional
34478,functional
44012,functional
50314,non functional
24528,functional
57041,non functional
6407,functional
42635,functional
73702,functional
67087,functional
7398,functional
20430,functional
60819,functional
59586,non functional
49192,non functional
39902,functional
52301,functional
50482,functional
36023,functional
42509,functional
42398,functional
56132,functional
37018,functional
33205,non functional
57405,non functional
66229,functional
22953,functional
67348,non functional
10496,functional
49208,non functional
29525,functional
51648,functional
49307,non functional
6408,non functional
53899,functional
46623,functional
12537,functional
1365,non functional
54115,non functional
52656,non functional
40498,functional
48970,non functional
56235,non functional
36070,non functional
63964,functional
32271,non functional
15011,functional
38607,non functional
39836,functional
65630,functional
58295,functional
4210,functional
3161,non functional
21846,non functional
28509,functional
20933,functional
20195,functional
528,non functional
55726,functional
39291,functional
39436,non functional
29216,functional
12682,non functional
48580,functional
22504,functional
54078,non functional
18687,functional
41128,non functional
73213,functional
52967,functional
73043,non functional
23440,functional
51098,functional
37286,non functional
3953,functional
70347,functional
61706,non functional
45392,functional
12844,functional
8890,non functional
49091,functional
44085,non functional
19625,non functional
44799,non functional
36158,functional
36397,functional
13057,functional
5874,functional
9067,functional
15956,non functional
3693,functional
65220,functional
31365,functional
60072,functional
45524,functional
536,functional
21099,functional
45506,non functional
39120,functional
66657,functional
20094,functional needs repair
20309,functional
49113,functional
44016,functional
7210,functional
34555,functional
16088,non functional
25292,functional needs repair
60748,functional
27452,functional
59367,functional
59662,non functional
63833,functional
63706,non functional
40887,functional
3501,functional needs repair
20532,functional
1386,functional
34149,non functional
43398,functional
49223,functional
58176,non functional
57623,functional
12860,non functional
30913,functional
45960,functional
34432,functional
17486,functional
65669,non functional
37837,non functional
73292,functional
11651,functional
29408,non functional
37866,functional
69690,functional
53995,non functional
53366,non functional
39328,functional
2320,non functional
67731,non functional
57014,functional
62940,functional
50725,functional
2855,functional
25922,functional
19440,non functional
31206,non functional
2349,functional
57290,non functional
9508,functional
66849,functional
62431,functional
23245,non functional
21360,functional
44870,functional
64287,functional
44968,non functional
61846,functional
49580,non functional
15928,functional
25900,functional
31819,non functional
48103,functional
49852,non functional
17098,non functional
1767,functional
33791,non functional
60357,functional
27287,functional needs repair
50174,non functional
60161,functional
10484,non functional
33521,functional
56320,non functional
33643,functional
22899,non functional
63343,non functional
29869,non functional
41463,functional
23539,non functional
2230,functional needs repair
26037,functional
375,non functional
39654,functional
53096,non functional
60168,functional
16990,functional
21007,functional
14315,functional
2177,functional
49269,functional
4671,non functional
44176,functional
40998,functional
7333,functional
64091,functional needs repair
68831,functional
42058,functional
7902,functional
65022,functional
28086,functional
45360,functional
45083,non functional
32905,non functional
39259,non functional
38013,functional
38895,functional
35123,functional
7111,functional
35613,functional
49983,non functional
7539,functional
70967,functional
37779,functional
17732,non functional
40619,non functional
13128,functional
62321,functional
41884,functional
22763,functional
56616,non functional
48446,functional
59810,functional
15364,functional
28596,non functional
16194,non functional
63304,functional
18910,functional
60481,functional
42567,functional
44374,non functional
1807,functional
51223,functional
15702,functional
11806,functional
54631,non functional
27402,non functional
3372,functional
64730,functional
17064,functional
26829,functional
9453,functional
67241,functional
73217,functional
66403,non functional
48472,non functional
64553,non functional
24516,functional
20160,non functional
6966,functional
65057,functional
17269,non functional
11662,functional
27280,functional
39968,functional
33060,non functional
50189,functional
8863,functional
18527,non functional
49700,functional
71248,functional
52907,functional
7891,functional
50648,functional
51640,non functional
56160,functional
61205,non functional
37237,non functional
39476,functional
12645,functional
65423,non functional
59104,functional needs repair
12613,functional
20577,functional
32896,non functional
22800,functional
15436,functional
28147,functional
62337,functional
46824,non functional
37508,non functional
55768,functional
60117,functional
59651,non functional
40212,functional
73448,functional
51073,functional
5001,functional
33581,non functional
71443,functional
52469,functional
56512,functional
36028,functional
22096,non functional
48869,functional
2988,non functional
18857,functional
5138,non functional
13512,non functional
20209,functional
48604,non functional
66879,functional
40331,functional needs repair
49860,functional
43322,functional
13054,functional
51553,non functional
10459,functional
58533,functional
31297,non functional
63877,non functional
42620,non functional
45603,functional
5494,functional
22161,functional
3807,functional
9865,functional
23557,non functional
48471,functional
13087,functional needs repair
67705,functional
31275,non functional
66376,non functional
29811,functional
47938,functional
60613,functional
13300,functional
42764,functional
62481,functional
5483,functional
72602,non functional
72209,functional
60017,functional needs repair
320,functional
44190,non functional
44812,non functional
19675,non functional
24619,functional
51059,functional
4253,non functional
64624,functional
3451,non functional
28982,functional needs repair
11328,functional
41177,functional
15005,functional
42649,functional
33997,non functional
9917,non functional
55120,functional
59177,functional
17066,functional
8462,non functional
28474,non functional
19611,functional
53689,non functional
69613,functional
40335,non functional
21223,functional
48646,functional
58015,functional
56587,functional
47054,functional
66850,non functional
19266,functional
41509,functional
50766,non functional
14113,functional
42577,non functional
60521,functional
31241,functional
31095,non functional
42850,non functional
37852,non functional
62257,functional
9974,non functional
55266,functional
58758,functional
28508,functional
4268,functional
29508,non functional
51429,non functional
58930,functional
21969,functional needs repair
37997,non functional
71748,functional
3149,functional
74152,non functional
60368,functional
16858,functional
37670,functional
35354,functional
7892,functional
47875,functional
6277,functional
1223,non functional
17318,functional
9651,functional
889,non functional
4613,functional
32108,non functional
17178,functional
72309,functional
36341,functional
7495,functional
61011,functional
31353,functional
12647,functional needs repair
50067,functional
54404,functional
45856,functional
56731,non functional
11704,functional
38790,functional
36015,functional
2720,non functional
40229,non functional
43850,functional
36182,non functional
37563,non functional
39146,non functional
28766,non functional
67633,functional
24922,functional
51987,functional
52414,functional
21708,functional
48070,non functional
69586,non functional
16882,functional
23894,functional
18759,functional
62851,functional
50087,non functional
42665,non functional
11705,functional
24892,non functional
26397,functional
15550,functional
37931,non functional
52844,functional
8024,non functional
40987,non functional
48760,non functional
23575,functional
10117,functional
10647,functional
42722,non functional
45067,non functional
